batch_id,loaded_at,source_file,row_num,reg_code,company_name,tax_debt_eur,debt_as_of_date,raw_payload
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,73,11462672,"MASSINER, O+£",364686.89,,"{""Nimi"": ""MASSINER, O+£"", ""Maksuv+¦lg"": ""364686,89"", ""Registrikood"": ""11462672"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""20.06.2024""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,74,10105177,"VALJALA S+û+ûDATEHAS, AS",358237.27,,"{""Nimi"": ""VALJALA S+û+ûDATEHAS, AS"", ""Maksuv+¦lg"": ""358237,27"", ""Registrikood"": ""10105177"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""358237,27"", ""Tasumisgraafiku l+¦ppkuup+ñev"": ""31.12.2032"", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""20.01.2022""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,75,16168902,SIMETRA KINNISVARA O+£,357544.24,,"{""Nimi"": ""SIMETRA KINNISVARA O+£"", ""Maksuv+¦lg"": ""357544,24"", ""Registrikood"": ""16168902"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""20.09.2022""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,76,16733294,R+òNGU AGRO O+£,355599.85,,"{""Nimi"": ""R+òNGU AGRO O+£"", ""Maksuv+¦lg"": ""355599,85"", ""Registrikood"": ""16733294"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""20.06.2023""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,77,12979041,CARTEC HALDUS O+£,351503.2,,"{""Nimi"": ""CARTEC HALDUS O+£"", ""Maksuv+¦lg"": ""351503,2"", ""Registrikood"": ""12979041"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""20.06.2025""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,78,10175120,"ITHAL-KRAANAD, AS",351399.44,,"{""Nimi"": ""ITHAL-KRAANAD, AS"", ""Maksuv+¦lg"": ""351399,44"", ""Registrikood"": ""10175120"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""11.12.2023""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,79,12869341,HEAVY INDUSTRY ESTONIA O+£,350934.19,,"{""Nimi"": ""HEAVY INDUSTRY ESTONIA O+£"", ""Maksuv+¦lg"": ""350934,19"", ""Registrikood"": ""12869341"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""10.08.2022""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,80,12930261,MATJUHHIN GRUPP O+£,347080.44,,"{""Nimi"": ""MATJUHHIN GRUPP O+£"", ""Maksuv+¦lg"": ""347080,44"", ""Registrikood"": ""12930261"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""20.03.2018""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,81,14667720,TK INVEST O+£,343979.01,,"{""Nimi"": ""TK INVEST O+£"", ""Maksuv+¦lg"": ""343979,01"", ""Registrikood"": ""14667720"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""20.01.2023""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,82,11137400,ROADWEST O+£,340835.03,,"{""Nimi"": ""ROADWEST O+£"", ""Maksuv+¦lg"": ""340835,03"", ""Registrikood"": ""11137400"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""271443,85"", ""Tasumisgraafiku l+¦ppkuup+ñev"": ""20.01.2027"", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""20.03.2025""}"
